subscription_name,resource_group,affix
RMG Hosting Production Env,rmg-ne-adoagt-prd-rg-net01,adoagt
RMG Hosting Production Env,rmg-ne-als-prd-rg-net01,als
RMG Hosting Production Env,rmg-ne-als-prd-rg-pdl-01,als
RMG Hosting Production Env,rmg-ne-azbkp-p-rg-app-01,azbkp
RMG Hosting Production Env,rmg-ne-barcoding-p-rg-vm-01,barcoding
RMG Hosting Production Env,rmg-ne-bat-prd-rg-svc-01,bat
RMG Hosting Production Env,rmg-ne-bigapp-prd-rg-app-01,bigapp
RMG Hosting Production Env,rmg-ne-bigapp-prd-rg-net01,bigapp
RMG Hosting Production Env,rmg-ne-bigint-prd-rg-app-01,bigint
RMG Hosting Production Env,rmg-ne-bigint-prd-rg-net01,bigint
RMG Hosting Production Env,rmg-ne-bigmqa-prd-rg-app-01,bigmqa
RMG Hosting Production Env,rmg-ne-bigmqa-prd-rg-net01,bigmqa
RMG Hosting Production Env,rmg-ne-bigpapi-prd-rg-net01,bigpapi
RMG Hosting Production Env,rmg-ne-bigutil-prd-rg-app-01,bigutil
RMG Hosting Production Env,rmg-ne-bigutil-prd-rg-net01,bigutil
RMG Hosting Production Env,rmg-ne-cpp-prd-rg-app-01,cpp
RMG Hosting Production Env,rmg-ne-cpp-prd-rg-net01,cpp
RMG Hosting Production Env,rmg-ne-cpp-prd-rg-ops-01,cpp
RMG Hosting Production Env,rmg-ne-cpp-prd-rg-sps-01,cpp
RMG Hosting Production Env,rmg-ne-cpp-prd-rg-ss-01,cpp
RMG Hosting Production Env,rmg-ne-dcs-prd-rg-app-01,dcs
RMG Hosting Production Env,rmg-ne-dcs-prd-rg-net01,dcs
RMG Hosting Production Env,rmg-ne-dilodo-prd-rg-net01,dilodo
RMG Hosting Production Env,rmg-ne-dps-man-p-rg-net01,dps
RMG Hosting Production Env,rmg-ne-dps-man-p-rg-vm-01,dps
RMG Hosting Production Env,rmg-ne-dps-p-rg-app-01,dps
RMG Hosting Production Env,rmg-ne-dps-p-rg-net01,dps
RMG Hosting Production Env,rmg-ne-dps-p-rg-sps-01,dps
RMG Hosting Production Env,rmg-ne-dps-p-rg-ss-01,dps
RMG Hosting Production Env,rmg-ne-drs-p-rg-app-01,drs
RMG Hosting Production Env,rmg-ne-drs-p-rg-net01,drs
RMG Hosting Production Env,rmg-ne-drs-p-rg-sps-01,drs
RMG Hosting Production Env,rmg-ne-drs-p-rg-ss-01,drs
RMG Hosting Production Env,rmg-ne-edm-prd-rg-mgmt-01,edm
RMG Hosting Production Env,rmg-ne-edm-prd-rg-pdl-01,edm
RMG Hosting Production Env,rmg-ne-eis-prd-rg-app-01,eis
RMG Hosting Production Env,rmg-ne-eis-prd-rg-ops-01,eis
RMG Hosting Production Env,rmg-ne-eis-prd-rg-sps-01,eis
RMG Hosting Production Env,rmg-ne-eis-prd-rg-ss-01,eis
RMG Hosting Production Env,rmg-ne-elecrep-prd-rg-app-01,elecrep
RMG Hosting Production Env,rmg-ne-epsbms-p-rg-net01,epsbms
RMG Hosting Production Env,rmg-ne-epsbmsui-p-rg-net01,epsbmsui
RMG Hosting Production Env,rmg-ne-epsmani-p-rg-net01,epsmani
RMG Hosting Production Env,rmg-ne-epspapi-prd-rg-net01,epspapi
RMG Hosting Production Env,rmg-ne-epsshared-prd-rg-app-01,epsshared
RMG Hosting Production Env,rmg-ne-epsshared-prd-rg-net01,epsshared
RMG Hosting Production Env,rmg-ne-epstm-prd-rg-net01,epstm
RMG Hosting Production Env,rmg-ne-etpc-prd-rg-app-01,etpc
RMG Hosting Production Env,rmg-ne-etpc-prd-rg-net01,etpc
RMG Hosting Production Env,rmg-ne-etpc-prd-rg-vm-01,etpc
RMG Hosting Production Env,rmg-ne-intutil-p-rg-net01,intutil
RMG Hosting Production Env,rmg-ne-opg-prd-rg-net01,opg
RMG Hosting Production Env,rmg-ne-opg-prd-rg-pdl-01,opg
RMG Hosting Production Env,rmg-ne-pdacomms-prd-rg-pdl-01,pdacomms
RMG Hosting Production Env,rmg-ne-pdacspsms-prd-rg-pdl-01,pdacspsms
RMG Hosting Production Env,rmg-ne-pdaff-p-rg-app-01,pdaff
RMG Hosting Production Env,rmg-ne-pdahandler-prd-rg-net01,pdahandler
RMG Hosting Production Env,rmg-ne-pdahandler-prd-rg-pdl-01,pdahandler
RMG Hosting Production Env,rmg-ne-pdaidm-prd-rg-pdl-01,pdaidm
RMG Hosting Production Env,rmg-ne-pdaiot-prd-rg-pdl-01,pdaiot
RMG Hosting Production Env,rmg-ne-pdamds-prd-rg-app-01,pdamds
RMG Hosting Production Env,rmg-ne-pdamds-prd-rg-net01,pdamds
RMG Hosting Production Env,rmg-ne-pdaportal-prd-rg-app-01,pdaportal
RMG Hosting Production Env,rmg-ne-pdaportal-prd-rg-net01,pdaportal
RMG Hosting Production Env,rmg-ne-pdarefdata-prd-rg-pdl-01,pdarefdata
RMG Hosting Production Env,rmg-ne-pdatma-prd-rg-pdl-01,pdatma
RMG Hosting Production Env,rmg-ne-rmappman-prd-rg-app-01,rmappman
RMG Hosting Production Env,rmg-we-adoagt-prd-rg-net01,adoagt
RMG Hosting Production Env,rmg-we-alexa-prd-rgredis01,alexa
RMG Hosting Production Env,rmg-we-alexa-prd-rgsrvless01,alexa
RMG Hosting Production Env,rmg-we-als-prd-rg-net01,als
RMG Hosting Production Env,rmg-we-als-prd-rg-pdl-01,als
RMG Hosting Production Env,rmg-we-azbkp-p-rg-app-01,azbkp
RMG Hosting Production Env,rmg-we-bat-prd-rg-svc-01,bat
RMG Hosting Production Env,rmg-we-bigapp-prd-rg-app-01,bigapp
RMG Hosting Production Env,rmg-we-bigapp-prd-rg-net01,bigapp
RMG Hosting Production Env,rmg-we-bigint-prd-rg-app-01,bigint
RMG Hosting Production Env,rmg-we-bigint-prd-rg-net01,bigint
RMG Hosting Production Env,rmg-we-bigmqa-prd-rg-app-01,bigmqa
RMG Hosting Production Env,rmg-we-bigmqa-prd-rg-net01,bigmqa
RMG Hosting Production Env,rmg-we-bigpapi-prd-rg-net01,bigpapi
RMG Hosting Production Env,rmg-we-bigpapi-prd-rg-pdl-01,bigpapi
RMG Hosting Production Env,rmg-we-bigutil-prd-rg-app-01,bigutil
RMG Hosting Production Env,rmg-we-bigutil-prd-rg-net01,bigutil
RMG Hosting Production Env,rmg-we-cdf-prd-rg-app-01,cdf
RMG Hosting Production Env,rmg-we-cdf-prd-rg-bld-01,cdf
RMG Hosting Production Env,rmg-we-cpp-prd-rg-app-01,cpp
RMG Hosting Production Env,rmg-we-cpp-prd-rg-net01,cpp
RMG Hosting Production Env,rmg-we-cpp-prd-rg-ops-01,cpp
RMG Hosting Production Env,rmg-we-cpp-prd-rg-sps-01,cpp
RMG Hosting Production Env,rmg-we-cpp-prd-rg-ss-01,cpp
RMG Hosting Production Env,rmg-we-dcs-prd-rg-app-01,dcs
RMG Hosting Production Env,rmg-we-dcs-prd-rg-net01,dcs
RMG Hosting Production Env,rmg-we-dilodo-prd-rg-app-01,dilodo
RMG Hosting Production Env,rmg-we-dilodo-prd-rg-net01,dilodo
RMG Hosting Production Env,rmg-we-dilodo-prd-rg-vm-01,dilodo
RMG Hosting Production Env,rmg-we-dps-man-p-rg-net01,dps
RMG Hosting Production Env,rmg-we-dps-man-p-rg-vm-01,dps
RMG Hosting Production Env,rmg-we-dps-p-rg-app-01,dps
RMG Hosting Production Env,rmg-we-dps-p-rg-net01,dps
RMG Hosting Production Env,rmg-we-dps-p-rg-sps-01,dps
RMG Hosting Production Env,rmg-we-dps-p-rg-ss-01,dps
RMG Hosting Production Env,rmg-we-drs-p-rg-app-01,drs
RMG Hosting Production Env,rmg-we-drs-p-rg-net01,drs
RMG Hosting Production Env,rmg-we-drs-p-rg-sps-01,drs
RMG Hosting Production Env,rmg-we-drs-p-rg-ss-01,drs
RMG Hosting Production Env,rmg-we-edm-prd-rg-pdl-01,edm
RMG Hosting Production Env,rmg-we-eis-prd-rg-app-01,eis
RMG Hosting Production Env,rmg-we-eis-prd-rg-ops-01,eis
RMG Hosting Production Env,rmg-we-eis-prd-rg-sps-01,eis
RMG Hosting Production Env,rmg-we-eis-prd-rg-ss-01,eis
RMG Hosting Production Env,rmg-we-elecrep-prd-rg-app-01,elecrep
RMG Hosting Production Env,rmg-we-epsbms-p-rg-app-01,epsbms
RMG Hosting Production Env,rmg-we-epsbms-p-rg-net01,epsbms
RMG Hosting Production Env,rmg-we-epsbmsui-p-rg-app-01,epsbmsui
RMG Hosting Production Env,rmg-we-epsbmsui-p-rg-net01,epsbmsui
RMG Hosting Production Env,rmg-we-epscommon-p-rg-net01,epscommon
RMG Hosting Production Env,rmg-we-epsmani-p-rg-app-01,epsmani
RMG Hosting Production Env,rmg-we-epsmani-p-rg-net01,epsmani
RMG Hosting Production Env,rmg-we-epsmapi-prd-rg-net01,epsmapi
RMG Hosting Production Env,rmg-we-epsord-p-rg-app-01,epsord
RMG Hosting Production Env,rmg-we-epsord-p-rg-net01,epsord
RMG Hosting Production Env,rmg-we-epspapi-prd-rg-app-01,epspapi
RMG Hosting Production Env,rmg-we-epspapi-prd-rg-net01,epspapi
RMG Hosting Production Env,rmg-we-epspb-prd-rg-app-01,epspb
RMG Hosting Production Env,rmg-we-epssecapi-prd-rg-app-01,epssecapi
RMG Hosting Production Env,rmg-we-epsshared-prd-rg-app-01,epsshared
RMG Hosting Production Env,rmg-we-epsshared-prd-rg-net01,epsshared
RMG Hosting Production Env,rmg-we-epstapi-p-rg-net01,epstapi
RMG Hosting Production Env,rmg-we-epstdf-p-rg-app-01,epstdf
RMG Hosting Production Env,rmg-we-epstdf-p-rg-net01,epstdf
RMG Hosting Production Env,rmg-we-epstm-prd-rg-app-01,epstm
RMG Hosting Production Env,rmg-we-epstm-prd-rg-net01,epstm
RMG Hosting Production Env,rmg-we-etpc-prd-rg-app-01,etpc
RMG Hosting Production Env,rmg-we-etpc-prd-rg-net01,etpc
RMG Hosting Production Env,rmg-we-hue-prd-rg-cs-01,hue
RMG Hosting Production Env,rmg-we-hue-prd-rg-net01,hue
RMG Hosting Production Env,rmg-we-hue-prd-rg-ops-01,hue
RMG Hosting Production Env,rmg-we-hue-prd-rg-sps-01,hue
RMG Hosting Production Env,rmg-we-hue-prd-rg-ss-01,hue
RMG Hosting Production Env,rmg-we-intutil-p-rg-net01,intutil
RMG Hosting Production Env,rmg-we-opg-prd-rg-net01,opg
RMG Hosting Production Env,rmg-we-opg-prd-rg-pdl-01,opg
RMG Hosting Production Env,rmg-we-pdacomms-prd-rg-pdl-01,pdacomms
RMG Hosting Production Env,rmg-we-pdacspsms-prd-rg-pdl-01,pdacspsms
RMG Hosting Production Env,rmg-we-pdaff-p-rg-app-01,pdaff
RMG Hosting Production Env,rmg-we-pdahandler-prd-rg-net01,pdahandler
RMG Hosting Production Env,rmg-we-pdahandler-prd-rg-pdl-01,pdahandler
RMG Hosting Production Env,rmg-we-pdaidm-prd-rg-pdl-01,pdaidm
RMG Hosting Production Env,rmg-we-pdaiot-prd-rg-pdl-01,pdaiot
RMG Hosting Production Env,rmg-we-pdamds-prd-rg-app-01,pdamds
RMG Hosting Production Env,rmg-we-pdamds-prd-rg-net01,pdamds
RMG Hosting Production Env,rmg-we-pdaportal-prd-rg-app-01,pdaportal
RMG Hosting Production Env,rmg-we-pdaportal-prd-rg-net01,pdaportal
RMG Hosting Production Env,rmg-we-pdarefdata-prd-rg-pdl-01,pdarefdata
RMG Hosting Production Env,rmg-we-pdatma-prd-rg-pdl-01,pdatma
RMG Hosting Production Env,rmg-we-rmappman-prd-rg-app-01,rmappman
RMG Hosting Production Env,rmg-we-soms-iaas-p-rg-app-01,soms
RMG Hosting Production Env,rmg-we-soms-p-rg-app-01,soms
RMG Hosting Production Env,rmg-we-soms-p-rg-net01,soms
RMG Hosting Production Env,rmg-we-sra-prd-rg-cs-01,sra
RMG Hosting Production Env,rmg-we-sra-prd-rg-net01,sra
RMG Hosting Production Env,rmg-we-sra-prd-rg-ops-01,sra
RMG Hosting Production Env,rmg-we-sra-prd-rg-sps-01,sra
RMG Hosting Production Env,rmg-we-sra-prd-rg-ss-01,sra
RMG Hosting Production Env,rmg-we-udg-prd-rg-cs-01,udg
RMG Hosting Production Env,rmg-we-udg-prd-rg-net01,udg
RMG Hosting Production Env,rmg-we-udg-prd-rg-ops-01,udg
RMG Hosting Production Env,rmg-we-udg-prd-rg-sps-01,udg
RMG Hosting Production Env,rmg-we-udg-prd-rg-ss-01,udg
"RMG Hosting Production Env, RMG Hosting Core Infrastructure Env",azureapp-auto-alerts-b7d95c-david_cryer_royalmail_com,alerts
"RMG Hosting Production Env, RMG Hosting Core Infrastructure Env",rmg-ne-pdacore-prd-rg-pdl-01,pdacore
"RMG Hosting Production Env, RMG Hosting Core Infrastructure Env",rmg-we-pdacore-prd-rg-pdl-01,pdacore
"RMG Hosting Production Env, RMG Hosting Non Production Env, RMG Hosting Pre Production Env",$system,system
RMG PCS,pcs_kiosk_mode,pcs
RMG PCS,zscaler_poc,zcaler
RMG VDI,rmg-gold-images-npd-ne,images
RMG VDI,rmg-ne-mon-vdi-rg-log01,mon
RMG VDI,rmg-ne-wvdi-npd-rg-net01,wvdi
RMG VDI,rmg-ne-wvd-npd-rg-scale01,wvd
RMG VDI,rmg-ne-wvd-npd-rg-wvd01,wvd
RMG VDI,rmg-ne-wvd-npd-rg-wvd02,wvd
RMG VDI,rmg-ne-wvd-npd-rg-wvd03,wvd
RMG VDI,rmg-ne-wvd-npd-rg-wvd04,wvd
RMG VDI,rmg-we-mon-vdi-rg-log01,mon
rmg-coreinfra-azarc-p-sub-01,rmg-we-azarc-p-rg-app-01,azarc
rmg-cpl-cn-sub-01,rmg-ne-cn-p-rg-hub01,cn
rmg-cpl-cn-sub-01,rmg-ne-cn-p-rg-vng01,cn
rmg-cpl-cn-sub-01,rmg-ne-cn-vn-rg-hub01,cn
rmg-cpl-cn-sub-01,rmg-ne-cn-vn-rg-vng01,cn
rmg-cpl-cn-sub-01,rmg-ne-ddos-p-rg-npp01,ddos
rmg-cpl-cn-sub-01,rmg-ne-dmz-p-rg-pfw01,dmz
rmg-cpl-cn-sub-01,rmg-ne-dmz-vn-rg-pfw01,dmz
rmg-cpl-cn-sub-01,rmg-ne-intdmz-p-rg-pfw01,intdmz
rmg-cpl-cn-sub-01,rmg-ne-intdmz-vn-rg-pfw01,intdmz
rmg-cpl-cn-sub-01,rmg-we-cn-p-rg-hub01,cn
rmg-cpl-cn-sub-01,rmg-we-cn-p-rg-vng01,cn
rmg-cpl-cn-sub-01,rmg-we-cn-vn-rg-hub01,cn
rmg-cpl-cn-sub-01,rmg-we-cn-vn-rg-vng01,cn
rmg-cpl-cn-sub-01,rmg-we-dmz-p-rg-pfw01,dmz
rmg-cpl-cn-sub-01,rmg-we-dmz-vn-rg-pfw01,dmz
rmg-cpl-cn-sub-01,rmg-we-intdmz-p-rg-pfw01,intdmz
rmg-cpl-cn-sub-01,rmg-we-intdmz-vn-rg-pfw01,intdmz
rmg-cpl-cntest-sub-01,rmg-ne-bttest-v-rg-tst01,bttest
rmg-cpl-cntest-sub-01,rmg-ne-cfpoc-p-rg-cfp01,cfpoc
rmg-cpl-cntest-sub-01,rmg-ne-cfpoc-v-rg-cfp01,cfpoc
rmg-cpl-cntest-sub-01,rmg-we-bttest-v-rg-tst01,bttest
rmg-cpl-cntest-sub-01,rmg-we-cfpoc-p-rg-cfp01,cfpoc
rmg-cpl-cntest-sub-01,rmg-we-cfpoc-v-rg-cfp01,cfpoc
rmg-cpl-id-sub-01,rmg-ne-id-p-rg-adc01,id
rmg-cpl-id-sub-01,rmg-ne-id-p-rg-pdns01,id
rmg-cpl-id-sub-01,rmg-ne-id-vn-rg-adc01,id
rmg-cpl-id-sub-01,rmg-we-id-p-rg-adc01,id
rmg-cpl-id-sub-01,rmg-we-id-vn-rg-adc01,id
rmg-cpl-id-sub-01,rmwwetst9001_group,unknown
rmg-cpl-mg-sub-01,rgdhilltestsa,unknown
rmg-cpl-mg-sub-01,rmg-ne-mg-p-rg-law01,mg
rmg-cpl-mg-sub-01,rmg-ne-mg-p-rg-sa01,mg
rmg-cpl-mg-sub-01,rmg-we-bldagt-p-rg-vm01,bldagt
rmg-cpl-mg-sub-01,rmg-we-mg-p-rg-law01,mg
rmg-cpl-mg-sub-01,rmg-we-mg-p-rg-sa01,mg
rmg-cpl-mgtest-sub-01,dhillatostesting,unknown
rmg-cpl-sec-sub-01,rmg-ne-sec-p-rg-bas01,sec
rmg-cpl-sec-sub-01,rmg-ne-sec-p-rg-pan01,sec
rmg-cpl-sec-sub-01,rmg-ne-sec-p-rg-sys01,sec
rmg-cpl-sec-sub-01,rmg-we-sec-p-rg-bas01,sec
rmg-cpl-sec-sub-01,rmg-we-sec-p-rg-pan01,sec
rmg-cpl-sec-sub-01,rmg-we-sec-p-rg-sys01,sec
rmg-dsp-v01-d-sub-01,rmg-dsp-v01-d-sub-01test,v01
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-op-ps-01,dsp
rmg-dsp-v01-d-sub-01,test-rsv-wt,unknown
rmg-dsp-v01-d-sub-01,test-zpa,unknown
RMGN LZ NPD Internal,terraform,unknown
RMGN PL Connectivity,rmgn-dns,unknown
RMGN PL Management,rmgn-mgmt,unknown
RMGN PL Seed,rmg-we-caf-p-rg-idn01,caf
RMGN PL Seed,rmg-we-caf-p-rg-inf01,caf
RMGN PL Seed,rmg-we-caf-p-rg-net01,caf
rmg-test11-run11-p-sub-01,rgdhillpolicytesting,unknown
rmg-test12-run12-v-sub-01,rgdhillnepolicytesting,unknown
rmg-zpa-lz-p-sub-01,rmg-ne-zpaac-p-rg-vm01,zpaac
rmg-zpa-lz-p-sub-01,rmg-ne-zpapse-p-rg-vm01,zpapse
rmg-zpa-lz-p-sub-01,rmg-we-zpaac-p-rg-vm01,zpaac
rmg-zpa-lz-p-sub-01,rmg-we-zpapse-p-rg-vm01,zpapse
RMNext Envrionment,rmgazurefilespoc,unknown
RMNext Envrionment,rmnext_primary_resources,unknown
RMNext Envrionment,rmnextlogs,unknown
Sharepoint Production,group-infrastructure-productionvnet-migrated,productionvnet
Sharepoint Production,infrastructure,unknown
Sharepoint Production,rmgprdweb01,unknown
Sharepoint Production,rmgproddns017027-migrated,unknown
Sharepoint Test,rmgtestweb01,unknown
StoreFeeder,default-web-westeurope,StoreFeeder
StoreFeeder,sf-automation-rg,StoreFeeder
StoreFeeder,sf-brochure-website,StoreFeeder
StoreFeeder,sf-createbarcode,StoreFeeder
StoreFeeder,sf-dev01-g-sfcwebsite_tm-rg,StoreFeeder
StoreFeeder,sf-dev-01-we-dataretention-rg,StoreFeeder
StoreFeeder,sf-dev01-we-redis_sfcache-rg,StoreFeeder
StoreFeeder,sf-dev01-we-sfcreports-rg,StoreFeeder
StoreFeeder,sf-functionapps,StoreFeeder
StoreFeeder,sf-live01-g-sfcwebsite_tm-rg,StoreFeeder
StoreFeeder,sf-live01-we-dataretention-rg,StoreFeeder
StoreFeeder,sf-live01-we-redis_sfcache-rg,StoreFeeder
StoreFeeder,sf-live01-we-sfcreports-rg,StoreFeeder
StoreFeeder,sf-sfctesters-rg,StoreFeeder
StoreFeeder,sf-uat01-g-sfcwebsite_tm-rg,StoreFeeder
StoreFeeder,sf-uat01-we-dataretention,StoreFeeder
StoreFeeder,sf-uat01-we-redis_sfcache-rg,StoreFeeder
StoreFeeder,sf-uat01-we-sfcreports-rg,StoreFeeder
StoreFeeder,storefeeder,StoreFeeder
StoreFeeder,storefeederimagesgeo-migrated,StoreFeeder
StoreFeeder,storefeederkeyvault,StoreFeeder
StoreFeeder,storefeedertemp-migrated,StoreFeeder
Test,rmg-ne-p-rg-test,unknown
RMG Hosting Production Env,rmg-we-adoagt-prd-rg-app-01,unknown
rmg-dsp-v01-d-sub-01,rmg-we-dsp-d-rg-ss-01,dsp
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-pfwcamel-01,dps
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-pfwdrupal-01,dps
Click and Drop (SF Lite),sf-live01-hub-we-sql_jump_box-rg,Click and Drop (SF Lite)
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-op-ps-01,dps
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-rmldrupal-01,dps
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-ss-01,dps
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-privend-01,dps
rmg-dsp-v01-d-sub-01,rmlaneadops7001_group,unknown
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-privend-01,dps
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-pfwcamel-01,dps
Click and Drop (SF Lite),sf-dev01-we-loggingecksa-rg,Click and Drop (SF Lite)
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-rmlcamel-01,unknown
rmg-run17-test17-d-sub-01,rg-test,unknown
Dhill Test Subscription 5,rg-nsgtesting,unknown
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-migration-01,dps
"rmg-dsp-v01-d-sub-01, Dhill Test Subscription 5, Click and Drop (SF Lite), RMG Hosting Non Production Env 2, rmg-cpl-id-sub-01, StoreFeeder, RMG VDI, RMG Hosting Core Infrastructure Env",networkwatcherrg,unknown
StoreFeeder,storefeeder-ai,StoreFeeder
Click and Drop (SF Lite),sf-dev01-we-apps_vnet-rg,Click and Drop (SF Lite)
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-monitoring-01,dps
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-ss-01,dps
rmg-dsp-v01-d-sub-01,rmlaneadops7002_group,unknown
rmg-dsp-v01-d-sub-01,test_group,unknown
rmg-dsp-v01-d-sub-01,rmg-ne-dsp-d-rg-sps-01,dps
Click and Drop (SF Lite),sf-uat02-g-k8sappssfctm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-live01-g-k8sappscndtm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-paymentcallbackgatewaytm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-uat01-g-k8sappscndtm-rg,Click and Drop (SF Lite)
rmg-dsp-v01-c-sub-01,rmg-ne-dsp-c-rg-sps-01,dsp
Click and Drop (SF Lite),sf-uat02-g-k8sappscndtm-rg,Click and Drop (SF Lite)
RMG Hosting Non Production Env,,unknown
Click and Drop (SF Lite),,Click and Drop (SF Lite)
rmg-cpl-sec-sub-01,,unknown
StoreFeeder,,StoreFeeder
Outdoor Actuals Project,,Outdoor Actuals Project
Barcode Allocation,,Barcode Allocation
RMGN PL Connectivity,,RMGN PL Connectivity
Traffic Transformation,,Traffic Transformation
RMGN PL Management,,RMGN PL Management
Click and Drop Classic,,Click and Drop (SF Lite)
Click and Drop (SF Lite) EA,,Click and Drop (SF Lite)
Click And Drop Classic EA,,Click and Drop (SF Lite)
StoreFeeder storage,,StoreFeeder
rmg-cpl-cn-sub-01,,unknown
(),,unknown
